Modèle,Baseline_Acc,Baseline_F1,Optimized_Acc,Optimized_F1,Test_Acc,Test_F1,Improvement
KNN,0.5760869565217391,0.6722689075630253,0.6847826086956522,0.683258557211241,0.6881720430107527,0.6983693154801148,1.6347103851720841
Decision Tree,0.5652173913043478,0.6551724137931034,0.8369565217391305,0.8171912312028052,0.8602150537634409,0.8519691370779534,24.72918792042817
Naive Bayes,0.6086956521739131,0.7534246575342466,0.6847826086956522,0.5566619915848527,0.6881720430107527,0.6995126160616406,-26.115772026010454
